prompt_id,graph_id,condition,contrast,rho
g001_closure_update,1,closure_update,dose_to_DeltaU_shift_grid,0.7333333333333332
g001_closure_override,1,closure_override,dose_to_DeltaU_shift_grid,0.9515151515151514
g001_exception_override,1,exception_override,dose_to_DeltaU_shift_grid,0.9999999999999999
g002_closure_update,2,closure_update,dose_to_DeltaU_shift_grid,0.8424242424242423
g002_closure_override,2,closure_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g002_exception_override,2,exception_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g003_closure_update,3,closure_update,dose_to_DeltaU_shift_grid,0.8424242424242423
g003_closure_override,3,closure_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g003_exception_override,3,exception_override,dose_to_DeltaU_shift_grid,0.9272727272727272
g005_closure_update,5,closure_update,dose_to_DeltaU_shift_grid,-0.24848484848484845
g005_closure_override,5,closure_override,dose_to_DeltaU_shift_grid,-0.09090909090909088
g005_exception_override,5,exception_override,dose_to_DeltaU_shift_grid,0.8909090909090909
g006_closure_update,6,closure_update,dose_to_DeltaU_shift_grid,0.8424242424242423
g006_closure_override,6,closure_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g006_exception_override,6,exception_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g007_closure_update,7,closure_update,dose_to_DeltaU_shift_grid,0.9030303030303028
g007_closure_override,7,closure_override,dose_to_DeltaU_shift_grid,0.8424242424242423
g007_exception_override,7,exception_override,dose_to_DeltaU_shift_grid,0.9515151515151514
g008_closure_update,8,closure_update,dose_to_DeltaU_shift_grid,0.8424242424242423
g008_closure_override,8,closure_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g008_exception_override,8,exception_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g013_closure_update,13,closure_update,dose_to_DeltaU_shift_grid,0.2121212121212121
g013_closure_override,13,closure_override,dose_to_DeltaU_shift_grid,0.9757575757575757
g013_exception_override,13,exception_override,dose_to_DeltaU_shift_grid,0.7939393939393938
g014_closure_update,14,closure_update,dose_to_DeltaU_shift_grid,0.8424242424242423
g014_closure_override,14,closure_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g014_exception_override,14,exception_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g016_closure_update,16,closure_update,dose_to_DeltaU_shift_grid,0.9878787878787878
g016_closure_override,16,closure_override,dose_to_DeltaU_shift_grid,0.9878787878787878
g016_exception_override,16,exception_override,dose_to_DeltaU_shift_grid,0.9878787878787878
