"figure","core_conclusion","archetype","hero_evidence","controls_or_risks"
"Figure 1","Engineering objects implement inference, while ordered high-dimensional layer states provide the tested empirical process object.","schematic-led high-dimensional mechanism composite","object-switch schematic plus layer-vector barcode and parallel-coordinate trajectories","schematic is reader orientation; evidence remains high-dimensional and not a literal 3D surface"
"Figure 2","Direct hidden coordinates add independent mechanism-label information and checkpoint comparison requires exploratory functional alignment.","asymmetric quantitative composite","group-held-out mechanism-label gain plus model-specific functional windows","construction-aligned reference removed from the main comparison; projection controls retained; weak direction isomorphism moved to Extended Data"
"Figure 3","ΔU is an explicitly constructed, bounded candidate-path separation observable.","mechanism-led quantitative composite","R to D to ΔU construction strip","sanity alignment, predecision, candidate-margin-excluded and auxiliary controls"
"Figure 4","Realized transition coordinates improve descriptive closure and observed hidden-state layer order is chord-directed relative to endpoint-preserving shuffles.","asymmetric mixed quantitative composite","descriptive closure plus direct-hidden 50-shuffle geometry","metric-dependent; not exact geodesic; readback-centre analysis moved to Extended Data"
"Figure 5","Failed additive actuators motivate a bounded local-transition actuator that selectively moves the measured answer-formation trajectory and can cross a declared emitted-token boundary.","mechanism-led quantitative composite","actuator-switch strip, held-out internal modulation and confidence-gated cross-checkpoint boundary crossing","reachability is established for the declared conflict-to-clean boundary; two non-target changes occur in Llama; matched reassignments do not support trajectory-specific dose assignment; no open-ended answer-correctness claim"
"Extended Data 1","A low-dimensional residual-PCA projection can orient readers to trajectory competition.","orientation aid","single retained projection panel","must be captioned as a visual abstraction, not a literal manifold"
"Extended Data 2","Full-vector neighbourhoods, layer-dimension contributions and optional residual-family diagnostics support the high-dimensional mechanism view.","diagnostic support","cosine neighbourhood heatmap and variance-contribution profile","supporting figure rather than main mechanism overview"
"Extended Data 10","Observed transition coordinates provide descriptive closure but retain little gain when estimated before the transition.","quantitative boundary composite","observed-versus-estimated transition-coordinate ladder","predicted-coordinate bilinear branches failed and are excluded rather than imputed"
"Extended Data 11","Internal trajectory control changes candidate margins, while the original actuator budget does not uniformly cross the candidate-selection boundary.","quantitative boundary composite","paired held-out prompt comparison and graph-bootstrap intervals","this figure diagnoses the original budget; expanded confidence-gated boundary tests are reported separately; two-candidate selection is not open-ended final-answer correctness"
"Extended Data 12","Layer-order geometry transfers beyond binary relation graphs, partial ordered histories forecast a declared final margin, random initializations preserve the order scaffold, and bounded gated actuators reach the declared output boundary across checkpoints.","six-panel experiment-closure composite","controlled lexical and arithmetic tasks, four-choice ARC, held-out forecasts, random-initialization controls and cross-checkpoint boundary tests","task coordinates remain task-specific; forecasts are candidate-defined; output crossing is not answer correctness; safety-matched reassignments do not support assignment specificity"
