"scope","relative_path","bytes","sha256"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/00_PM_Correction_LongRun_Object_Selection.md","1281","dcd43cd6fcb8ddc58f6719ceb1b11bbbdc14ff76f6d7d1a753d13c80793af603"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/01_ProblemSpaceBaselinePendingClosureLongRun_Spec_7001A7200Z.md","2468","4979bb4addbebcd7205995719271381c32d7729e0943d11d264337f3079436e5"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/02_PendingClosureLongRun_Invariants_v0_2.md","1368","b9ab1178f540e92b814aa0e625398e49ee4a28bbe6a6001408a6e521c9d29836"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/03_LongRun_Test_Matrix_v0_2.md","870","664808a6696c2985a7dc60854021934766c13ad1c48adb744d03935e6a3d1521"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/04_Codex_Task_Prompt_7001A7200Z.md","1344","c020a31e268fe12fdbe6af8be0a9f0782e018294fb8b85778d1370cd5cdfaacc"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/05_Acceptance_Criteria_7001A7200Z_v0_2.json","1112","6eed15b3ef50853a45205ae34f1b6b823e1ea644cdf2400af99cd24cbe5db501"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/06_Return_Files_Manifest_7001A7200Z_v0_2.json","938","a9178497248fb7e08c92d499d54f1ca951e99d17f5b3e6f4b3d6ead3df89569e"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/07_Architecture_Closure_Tracker_7001A7200Z_v0_2.json","488","8922802779dbf9c9845570535d8aff36ecb326b3bd00e876937e48e9f51425a8"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/08_PM_Next_Seed_7001A7200Z_v0_2.md","458","2dd28a18006e7a5724db86f18a3f5cacb8c637304d9213172e6e0cd30264dfcb"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/HASH_INVENTORY.csv","1050","58af95c71fd2fe7d816cac5b01ccc5a6aa46da23315a1e9f0be4c7c9e7d142a8"
"base_workspace","_incoming/7001A7200Z_v02/AgentOS_CoreSlim_ProblemSpaceBaselinePendingClosureLongRun_7001A7200Z_PM_Pack_v0_2/MANIFEST.md","1232","50a9bab0dbdcf72f39787035f5b10873e3578a01132e9770a1f005ad32651786"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/00_PM_Audit_7001_Return_ScopeTooNarrow.md","1366","cce4203e691c18b8e71a256cf1dda6ffba5c34d330a585772539aba282a4bf7f"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/01_TheoryBaselineProblemSpaceDeepScanLongRun_Spec_7001A7200Z_v0_3.md","2532","955f1b82c6a01be3bc42c32bf5c518b576387b21f24dca72aca1fee06da96894"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/02_LocalTheoryBaselineScan_Contract_v0_3.md","1169","82a810c2a3f2c3d6dec658c07895dc6e8b333c830de67e9387ec3b8f667a9df9"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/03_ProblemSpaceExtraction_Schema_v0_3.md","1404","4b193c8d78390e9ae836ed7cec83dcb47598ec82e28ab408199e71e05315ea78"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/04_AntiAdditive_LongRun_Invariants_v0_3.md","937","46e7d04e907607f047423d1623d30c1d4dd8ec1627c83a2d5e621334517f4f0e"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/05_Acceptance_Criteria_7001A7200Z_v0_3.json","1223","0cc5b6c42ede0c0625750a4415c8d800b58dbf8e4d52b77410d649043b594d14"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/06_Return_Files_Manifest_7001A7200Z_v0_3.json","1402","715ec81ec01fc56a6dad884382e272ff948955072de21ac4f875d429462985a6"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/07_Codex_Task_Prompt_7001A7200Z_v0_3.md","1649","f528fc8cfa4dd9db9da48f1f9356aee8aeb57ae38a49ca477a4b489ff71f4d15"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/08_Architecture_Closure_Tracker_7001A7200Z_v0_3.json","523","ba409f86377708c2c53eaf599ac37d63dfa929ad84cc9ebc2c937183afcc005c"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/09_PM_Next_Seed_7001A7200Z_v0_3.md","425","9273274c790e8696996ac22250f2c6b0dfbf2d0093d60294c9d258ea7c567311"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/HASH_INVENTORY.csv","1181","4be7fb5e36531a13ec299146a015e97027d1a24045b975fc8759c50c37fabcc3"
"base_workspace","_incoming/7001A7200Z_v03/AgentOS_CoreSlim_TheoryBaselineProblemSpaceDeepScanLongRun_7001A7200Z_PM_Pack_v0_3/MANIFEST.md","1386","c958d6cd87ea70900b3d20ed9a5bf83bed1952b4cf0ec823248f4038014a3bbd"
"base_workspace","_incoming/7201A7300Z_arbor_codex_tool_bridge_v0_1/AgentOS_CoreSlim_ArborCodexToolBridge_7201A7300Z_PM_Pack_v0_1/00_PM_Correction_Insert_ArborCodexToolBridge_Before_ReleaseReadiness.md","1667","094f0fc9a6285deb1e040381ff884ece900cb1d8b21048e731f434c4f98deaa4"
"base_workspace","_incoming/7201A7300Z_arbor_codex_tool_bridge_v0_1/AgentOS_CoreSlim_ArborCodexToolBridge_7201A7300Z_PM_Pack_v0_1/01_ArborCodexToolBridge_Spec_7201A7300Z.md","2388","c53c85409a3555d7f01fbbc201709c739823e15f9b4defd91575d0015958d76b"
"base_workspace","_incoming/7201A7300Z_arbor_codex_tool_bridge_v0_1/AgentOS_CoreSlim_ArborCodexToolBridge_7201A7300Z_PM_Pack_v0_1/02_ToolBridge_Invariants_v0_1.md","935","93abb42fea2dec7f5a53f706d8113e2b081d5f7ea1cce91c5c31ad5bfee43552"
"base_workspace","_incoming/7201A7300Z_arbor_codex_tool_bridge_v0_1/AgentOS_CoreSlim_ArborCodexToolBridge_7201A7300Z_PM_Pack_v0_1/03_CodexToolBridge_Permission_Model_v0_1.md","966","26734391bcba69a70eb3b059dc99175c7f73488241f8cdea432f88f543be3ff5"
