relative_path,extension,bytes,last_write_time_utc,scan_status,sha256
Cognitive_Research_Architecture_v3_0/00_README_Cognitive_Research_Architecture_v3_0.md,.md,3821,2026-06-12T06:01:06+00:00,scanned_text,61d5df765698a666b95d7ca33a6409902d70f20a69fec500acb9b6726cdd3175
Cognitive_Research_Architecture_v3_0/01_Cognitive_Ontology_Baseline_v3_0.md,.md,9825,2026-06-12T06:01:06+00:00,scanned_text,678f75907dd2c773c9c1aed8d36144ff2193da9c4a7179ad01f6103051503d94
Cognitive_Research_Architecture_v3_0/02_LLM_Dynamics_Baseline_v3_0.md,.md,8639,2026-06-12T06:01:06+00:00,scanned_text,78bae310b28568a9393608cebbb5fd3a254279df85deff705c7c5cedf717fc2e
Cognitive_Research_Architecture_v3_0/03_Artificial_Cognitive_System_Baseline_v3_0.md,.md,11268,2026-06-12T06:01:06+00:00,scanned_text,6bdcdc572764ce3e2d6b843b75a758b1b00d00eb457c2b124494da23bec4fa4b
Cognitive_Research_Architecture_v3_0/04_Methodology_Audit_Baseline_v3_0.md,.md,9473,2026-06-12T06:01:06+00:00,scanned_text,6ecdcbae21fc7f9ea4f885a2d7ddd170640a15a90bf4a6162cdbe0599c128e58
Cognitive_Research_Architecture_v3_0/05_Correspondence_Map_v3_0.md,.md,10549,2026-06-12T06:01:06+00:00,scanned_text,c3dd03e5f5b892186a10c3e33d68e5b9fbc30c42e8c6461800c00ff061f0f2bd
Cognitive_Research_Architecture_v3_5.zip,.zip,18792,2026-06-13T00:30:29.744700+00:00,excluded_zip_archive,9f481b21cd4d9b9b6aa618bfea44eb34d5741e034d6ecd1039447e65da8d3cd3
Cognitive_Research_Architecture_v3_6.zip,.zip,23918,2026-06-23T10:44:37.002469+00:00,excluded_zip_archive,881856e98e4bc3ec63b8496ca0cdbf55556cb801c054cdbb8c192c278c947ae0
Cognitive_Research_Architecture_v3_6/00_README_Cognitive_Research_Architecture_v3_6.md,.md,1393,2026-06-23T10:42:08.216793+00:00,scanned_text,87a2a2444851e003477e59fea69c77c77c66b94d7194ef3adc993ff78b99f534
Cognitive_Research_Architecture_v3_6/01_Cognitive_Ontology_Baseline_v3_6.md,.md,7928,2026-06-23T10:40:50.676216+00:00,scanned_text,46ab00163869db70562ce1ddcba4ae2f2497d336ee6abab60180a26cdb3efdfa
Cognitive_Research_Architecture_v3_6/02_LLM_Dynamics_Baseline_v3_6.md,.md,6764,2026-06-23T10:40:50.680904+00:00,scanned_text,2a4468df5b818add21c4c5feb544d4a048a0482bb1e304d0ab24503782a59ac8
Cognitive_Research_Architecture_v3_6/03_Artificial_Cognitive_System_Baseline_v3_6.md,.md,10261,2026-06-23T10:42:08.214793+00:00,scanned_text,a06da12775c42d37f63b937b4cd26d612cc6b5e512ca02df40fab732044bce3d
Cognitive_Research_Architecture_v3_6/04_Methodology_Audit_Baseline_v3_6.md,.md,9254,2026-06-23T10:42:08.215793+00:00,scanned_text,a70ae4f17423f2fb0a09c2365b9067b35619e6cff910eed4543185e874a7732b
Cognitive_Research_Architecture_v3_6/05_Correspondence_Map_v3_6.md,.md,10155,2026-06-23T10:42:08.216793+00:00,scanned_text,d962ba36a8a7364e61d278d07a9e2259d77c2a6ee350a99ccf4f2a2280cd73d5
Cognitive_Research_Architecture_v3_6/LAOS_SBC2_Closure_Theory_Baseline_Writeback_Record_v0_1.json,.json,2254,2026-06-23T10:42:08.217793+00:00,scanned_text,c32290146e1e68014bfd9822ccf418ffec129d6dc942550f194df1a86b771e77
Cognitive_Research_Architecture_v3_6/MANIFEST_Cognitive_Research_Architecture_v3_6.json,.json,3531,2026-06-23T10:44:36.720966+00:00,scanned_text,0d4190b6afd58f05727c82cbc7524b0e85a08dac0e474b1afa0942e84f188aa2
Cognitive_Research_Architecture_v3_8_LatestPatchset_20260625.zip,.zip,19890,2026-06-25T05:43:17.954332+00:00,excluded_zip_archive,a1cd109d7066c9c7b44f61f03388e4af500ec57dfb68bf4d11a6c1ddd6bd2d8e
