prompt_id,graph_id,condition,mechanism,clean_label,conflict_label,DeltaU_none,final_clean_logit_none,final_conflict_logit_none,pair_choice_none,control_none,DeltaU_policy,final_clean_logit_policy,final_conflict_logit_policy,pair_choice_policy,control_policy,model,margin_none,margin_policy,delta_margin,delta_DeltaU,clean_choice_none,clean_choice_policy,choice_change,crossed_boundary,predicted_delta_margin_oof,predicted_margin_policy_oof,crossing_probability_oof
g000_clean,0,clean,stable,Red,Blue,3.53176522254944,29.40625,30.640625,conflict,none,3.53176522254944,29.40625,30.640625,conflict,real_predmech_policy,qwen,-1.234375,-1.234375,0.0,0.0,0,0,0,0,0.008233455431073023,-1.226141544568927,0.004229287734737153
g000_redundant,0,redundant,stable,Red,Blue,5.79895782470703,26.890625,27.03125,conflict,none,5.79895782470703,26.890625,27.03125,conflict,real_predmech_policy,qwen,-0.140625,-0.140625,0.0,0.0,0,0,0,0,0.008233455431073023,-0.132391544568927,0.1322208067462424
g000_irrelevant,0,irrelevant,stable,Red,Blue,3.26401805877686,29.703125,30.890625,conflict,none,3.26401805877686,29.703125,30.890625,conflict,real_predmech_policy,qwen,-1.1875,-1.1875,0.0,0.0,0,0,0,0,0.008233455431073023,-1.179266544568927,0.004927155880785183
g000_paraphrase,0,paraphrase,stable,Red,Blue,12.7011556625366,24.59375,22.8125,clean,none,12.7011556625366,24.59375,22.8125,clean,real_predmech_policy,qwen,1.78125,1.78125,0.0,0.0,1,1,0,0,0.008233455431073023,1.789483455431073,0.9879806063403377
g000_weak_distractor,0,weak_distractor,competition,Red,Blue,5.40304660797119,29.921875,30.328125,conflict,none,5.40304660797119,29.921875,30.328125,conflict,real_predmech_policy,qwen,-0.40625,-0.40625,0.0,0.0,0,0,0,0,0.008233455431073023,-0.398016544568927,0.0600359949143341
g000_competition_balanced,0,competition_balanced,competition,Red,Blue,-2.67870831489563,28.984375,33.0625,conflict,none,-2.67870831489563,28.984375,33.0625,conflict,real_predmech_policy,qwen,-4.078125,-4.078125,0.0,0.0,0,0,0,0,0.008233455431073023,-4.069891544568927,3.851879873054551e-07
g000_direct_conflict,0,direct_conflict,competition,Red,Blue,-1.17746567726135,30.078125,33.4375,conflict,none,-1.17746567726135,30.078125,33.4375,conflict,real_predmech_policy,qwen,-3.359375,-3.359375,0.0,0.0,0,0,0,0,0.008233455431073023,-3.351141544568927,4.049351523271378e-06
g000_closure_update,0,closure_update,closure,Red,Blue,-4.91456317901611,26.8125,32.84375,conflict,none,-3.74341464042664,26.640625,30.046875,conflict,real_predmech_policy,qwen,-6.03125,-3.40625,2.625,1.17114853858948,0,0,0,0,1.1260236369057077,-4.905226363094292,2.5016780420334304e-08
g000_closure_override,0,closure_override,closure,Red,Blue,-6.52597713470459,25.828125,32.28125,conflict,none,-3.45541977882385,26.59375,30.203125,conflict,real_predmech_policy,qwen,-6.453125,-3.609375,2.84375,3.07055735588074,0,0,0,0,2.3763336260346635,-4.076791373965337,3.765863056820049e-07
g000_exception_override,0,exception_override,closure,Red,Blue,-5.99700736999512,26.828125,32.46875,conflict,none,-1.61555886268616,27.46875,30.140625,conflict,real_predmech_policy,qwen,-5.640625,-2.671875,2.96875,4.38144850730896,0,0,0,0,3.239244383513858,-2.401380616486142,9.066670523422952e-05
