task,representation,prompt_id,metric,value
relation_graph,cached_mixed_raw,relation_g000_clean,future_alignment,0.023699847981333733
relation_graph,cached_mixed_raw,relation_g000_closure_override,future_alignment,0.024882417172193527
relation_graph,cached_mixed_raw,relation_g000_closure_update,future_alignment,0.01699954830110073
relation_graph,cached_mixed_raw,relation_g000_competition_balanced,future_alignment,0.01719074882566929
relation_graph,cached_mixed_raw,relation_g000_direct_conflict,future_alignment,0.021753916516900063
relation_graph,cached_mixed_raw,relation_g000_equal_evidence,future_alignment,0.028415212407708168
relation_graph,cached_mixed_raw,relation_g000_exception_override,future_alignment,0.022408386692404747
relation_graph,cached_mixed_raw,relation_g000_irrelevant,future_alignment,0.023157434538006783
relation_graph,cached_mixed_raw,relation_g000_paraphrase,future_alignment,0.016012117266654968
relation_graph,cached_mixed_raw,relation_g000_rename,future_alignment,0.016037940979003906
relation_graph,cached_mixed_raw,relation_g000_source_claim,future_alignment,0.032492686063051224
relation_graph,cached_mixed_raw,relation_g000_weak_distractor,future_alignment,0.024419138208031654
relation_graph,cached_mixed_raw,relation_g002_clean,future_alignment,0.026871373876929283
relation_graph,cached_mixed_raw,relation_g002_closure_override,future_alignment,0.01987263560295105
relation_graph,cached_mixed_raw,relation_g002_closure_update,future_alignment,0.023264581337571144
relation_graph,cached_mixed_raw,relation_g002_competition_balanced,future_alignment,0.028164047747850418
relation_graph,cached_mixed_raw,relation_g002_direct_conflict,future_alignment,0.026204198598861694
relation_graph,cached_mixed_raw,relation_g002_equal_evidence,future_alignment,0.040069203823804855
relation_graph,cached_mixed_raw,relation_g002_exception_override,future_alignment,0.02173084020614624
relation_graph,cached_mixed_raw,relation_g002_irrelevant,future_alignment,0.02771332487463951
relation_graph,cached_mixed_raw,relation_g002_paraphrase,future_alignment,0.017515087500214577
relation_graph,cached_mixed_raw,relation_g002_rename,future_alignment,0.0218037236481905
relation_graph,cached_mixed_raw,relation_g002_source_claim,future_alignment,0.03622221201658249
relation_graph,cached_mixed_raw,relation_g002_weak_distractor,future_alignment,0.025794148445129395
relation_graph,cached_mixed_raw,relation_g015_clean,future_alignment,0.025705713778734207
relation_graph,cached_mixed_raw,relation_g015_closure_override,future_alignment,0.016637947410345078
relation_graph,cached_mixed_raw,relation_g015_closure_update,future_alignment,0.01836017705500126
relation_graph,cached_mixed_raw,relation_g015_competition_balanced,future_alignment,0.028384298086166382
relation_graph,cached_mixed_raw,relation_g015_direct_conflict,future_alignment,0.023788923397660255
relation_graph,cached_mixed_raw,relation_g015_equal_evidence,future_alignment,0.03475918248295784
relation_graph,cached_mixed_raw,relation_g015_exception_override,future_alignment,0.01983681134879589
relation_graph,cached_mixed_raw,relation_g015_irrelevant,future_alignment,0.02065148949623108
relation_graph,cached_mixed_raw,relation_g015_paraphrase,future_alignment,0.009534487500786781
relation_graph,cached_mixed_raw,relation_g015_rename,future_alignment,0.01686043106019497
relation_graph,cached_mixed_raw,relation_g015_source_claim,future_alignment,0.038122497498989105
relation_graph,cached_mixed_raw,relation_g015_weak_distractor,future_alignment,0.021097540855407715
relation_graph,cached_mixed_raw,relation_g023_clean,future_alignment,0.01946158893406391
relation_graph,cached_mixed_raw,relation_g023_closure_override,future_alignment,0.012706933543086052
relation_graph,cached_mixed_raw,relation_g023_closure_update,future_alignment,0.018719540908932686
relation_graph,cached_mixed_raw,relation_g023_competition_balanced,future_alignment,0.025424595922231674
