prompt_id,graph_id,condition,mechanism,clean_label,conflict_label,DeltaU,final_clean_logit,final_conflict_logit,pair_choice,action_label,alpha,beta,final_margin,baseline_margin,margin_shift,dose,crossed
g001_clean,1,clean,stable,Green,Yellow,0.09651989489793777,18.234375,17.703125,clean,a0.0_b0.0,0.0,0.0,0.53125,0.53125,0.0,0.0,False
g001_redundant,1,redundant,stable,Green,Yellow,0.2807663679122925,18.421875,17.71875,clean,a0.0_b0.0,0.0,0.0,0.703125,0.703125,0.0,0.0,False
g001_irrelevant,1,irrelevant,stable,Green,Yellow,0.625243604183197,19.28125,18.265625,clean,a0.0_b0.0,0.0,0.0,1.015625,1.03125,-0.015625,0.0,False
g001_paraphrase,1,paraphrase,stable,Green,Yellow,-0.0717371329665184,20.625,20.328125,clean,a0.0_b0.0,0.0,0.0,0.296875,0.3125,-0.015625,0.0,False
g001_weak_distractor,1,weak_distractor,competition,Green,Yellow,0.15650434792041779,18.40625,17.8125,clean,a0.0_b0.0,0.0,0.0,0.59375,0.59375,0.0,0.0,False
g001_competition_balanced,1,competition_balanced,competition,Green,Yellow,-0.7091463804244995,18.484375,18.6875,conflict,a0.0_b0.0,0.0,0.0,-0.203125,-0.203125,0.0,0.0,False
g001_direct_conflict,1,direct_conflict,competition,Green,Yellow,-0.3577502369880676,19.28125,19.1875,clean,a0.0_b0.0,0.0,0.0,0.09375,0.09375,0.0,0.0,False
g001_closure_update,1,closure_update,closure,Green,Yellow,-0.934242308139801,18.890625,19.296875,conflict,a0.0_b0.0,0.0,0.0,-0.40625,-0.390625,-0.015625,0.0,False
g001_closure_override,1,closure_override,closure,Green,Yellow,-0.583247184753418,18.875,18.9375,conflict,a0.0_b0.0,0.0,0.0,-0.0625,-0.0625,0.0,0.0,False
g001_exception_override,1,exception_override,closure,Green,Yellow,-1.3084872961044312,19.203125,20.015625,conflict,a0.0_b0.0,0.0,0.0,-0.8125,-0.8125,0.0,0.0,False
g002_clean,2,clean,stable,North,South,0.09651989489793777,19.25,17.859375,clean,a0.0_b0.0,0.0,0.0,1.390625,1.390625,0.0,0.0,False
